freqs (cycles/rot),amps,mag (ohm-cm),phase,amp_ratio,ACT_str,ACT,T,H,geo
3,(1.0711624593956039e-06-3.088458240560281e-07j),1.1147980792301742e-06,6.23481714587339,0.02809839112075133,ACTRot11,11.0,1.9,9.0,perp
2,(-9.69224970165896e-07-2.4946609367705867e-07j),1.0008148553491665e-06,6.23481714587339,0.025225453621590604,ACTRot11,11.0,1.9,9.0,perp
5,(-3.423571075315323e-07-8.363304788972859e-07j),9.036907983430621e-07,6.23481714587339,0.02277744999489239,ACTRot11,11.0,1.9,9.0,perp
1,(7.135641228875087e-07-3.454072456703115e-08j),7.143996214485525e-07,6.23481714587339,0.018006381921504472,ACTRot11,11.0,1.9,9.0,perp
7,(-4.952932210449055e-07+1.6285435546745774e-07j),5.213798192371456e-07,6.23481714587339,0.013141334162962034,ACTRot11,11.0,1.9,9.0,perp
9,(1.9924331071304037e-07+2.372410016997854e-07j),3.0980831130137666e-07,6.23481714587339,0.007808692233679572,ACTRot11,11.0,1.9,9.0,perp
0,(1.2268603530757023e-19+0j),1.2268603530757023e-19,6.23481714587339,3.0922911237046093e-15,ACTRot11,11.0,1.9,9.0,perp
2,(-3.162762073580779e-06-2.934472516923668e-06j),4.314416865192945e-06,4.402502440637573,1.0,ACTRot11,11.0,2.0,0.5,perp
8,(-8.789592693964482e-07+5.6341586601774205e-09j),8.789773267847959e-07,4.402502440637573,0.2037302732325304,ACTRot11,11.0,2.0,0.5,perp
4,(-7.681743664866891e-07-6.94233054791463e-08j),7.71305032183038e-07,4.402502440637573,0.17877387750952628,ACTRot11,11.0,2.0,0.5,perp
6,(1.108835480986881e-07+2.8878493562655385e-07j),3.093410743561012e-07,4.402502440637573,0.07169939392082067,ACTRot11,11.0,2.0,0.5,perp
3,(2.9974374921802295e-07-1.2805345572906163e-08j),3.0001715296049084e-07,4.402502440637573,0.06953828578339608,ACTRot11,11.0,2.0,0.5,perp
5,(1.2614380895374532e-07-2.1432158155893957e-07j),2.486885619792036e-07,4.402502440637573,0.057641291917229234,ACTRot11,11.0,2.0,0.5,perp
9,(1.2390740830888848e-07-1.1268250035473115e-08j),1.2441872565127623e-07,4.402502440637573,0.028837900819236692,ACTRot11,11.0,2.0,0.5,perp
1,(-3.423928132251746e-08-1.069301184112014e-07j),1.1227813059058316e-07,4.402502440637573,0.026023941148663663,ACTRot11,11.0,2.0,0.5,perp
7,(-1.2759759453233128e-08+7.511046745945962e-08j),7.618657219801212e-08,4.402502440637573,0.017658602443508895,ACTRot11,11.0,2.0,0.5,perp
0,(-3.465288851074825e-19+0j),3.465288851074825e-19,4.402502440637573,8.031882313068637e-14,ACTRot11,11.0,2.0,0.5,perp
4,(-4.648211306416047e-05-1.7355644565401933e-05j),4.9616582240113674e-05,5.82141821342515,1.0,ACTRot11,11.0,2.0,3.0,perp
2,(-1.7390807554505406e-06+7.368390645057622e-06j),7.570837640060121e-06,5.82141821342515,0.15258684291114477,ACTRot11,11.0,2.0,3.0,perp
5,(-2.956528172763196e-07-1.4165466294551669e-06j),1.4470711598895955e-06,5.82141821342515,0.029165071324071923,ACTRot11,11.0,2.0,3.0,perp
3,(1.079854313127794e-06-5.373911849166001e-07j),1.2061818367090292e-06,5.82141821342515,0.02431005486979842,ACTRot11,11.0,2.0,3.0,perp
8,(-7.457642697695224e-07-3.2628180523407005e-07j),8.140172986439984e-07,5.82141821342515,0.016406154190642484,ACTRot11,11.0,2.0,3.0,perp
1,(5.474739942215671e-07+5.153110198487189e-07j),7.518465412080068e-07,5.82141821342515,0.015153130410505363,ACTRot11,11.0,2.0,3.0,perp
6,(3.2456293726561233e-07-1.5233972295877724e-07j),3.585365970687495e-07,5.82141821342515,0.007226144584761066,ACTRot11,11.0,2.0,3.0,perp
7,(-1.5662526876012303e-07+1.7231213485067969e-07j),2.3285821143129052e-07,5.82141821342515,0.0046931529927716565,ACTRot11,11.0,2.0,3.0,perp
9,(5.531277118024173e-08+5.0553972181589056e-08j),7.493468328467573e-08,5.82141821342515,0.0015102749907689743,ACTRot11,11.0,2.0,3.0,perp
0,(4.02940564078468e-21+0j),4.02940564078468e-21,5.82141821342515,8.121086658659479e-17,ACTRot11,11.0,2.0,3.0,perp
4,(-4.493977674891395e-05-1.7058002978432647e-05j),4.806827435902441e-05,6.068161295326452,1.0,ACTRot11,11.0,2.0,7.0,perp
6,(5.146635290995704e-06-1.0664604278502558e-05j),1.1841521829375543e-05,6.068161295326452,0.24634797040831147,ACTRot11,11.0,2.0,7.0,perp
2,(-5.099812823882699e-06-3.981117048682934e-06j),6.469728262759753e-06,6.068161295326452,0.1345945605294049,ACTRot11,11.0,2.0,7.0,perp
8,(4.528047368659404e-06-2.496921458166444e-06j),5.170863539204588e-06,6.068161295326452,0.10757331333725738,ACTRot11,11.0,2.0,7.0,perp
3,(1.2711653340934119e-06-1.025634400251964e-06j),1.6333362267399267e-06,6.068161295326452,0.033979506202790936,ACTRot11,11.0,2.0,7.0,perp
5,(-6.477687182563977e-07-6.444099251691742e-07j),9.137113679976172e-07,6.068161295326452,0.019008615977620914,ACTRot11,11.0,2.0,7.0,perp
1,(5.924347529843372e-07-1.2938796935845975e-07j),6.063993594639743e-07,6.068161295326452,0.012615376098895216,ACTRot11,11.0,2.0,7.0,perp
7,(3.443391399207539e-07+3.249079118011027e-08j),3.4586860914641276e-07,6.068161295326452,0.007195361467796875,ACTRot11,11.0,2.0,7.0,perp
9,(2.2299201392987932e-07-1.6699745428919357e-07j),2.7859215354272777e-07,6.068161295326452,0.005795759412162555,ACTRot11,11.0,2.0,7.0,perp
0,(4.7849191984318075e-20+0j),4.7849191984318075e-20,6.068161295326452,9.954422667002771e-16,ACTRot11,11.0,2.0,7.0,perp
4,(-2.8149622326039928e-05-1.090144774735943e-05j),3.0186798440495366e-05,5.66533255346949,1.0,ACTRot11,11.0,2.0,9.0,perp
6,(5.676100886749792e-06-7.983728390277846e-06j),9.79581748943345e-06,5.66533255346949,0.32450667164135016,ACTRot11,11.0,2.0,9.0,perp
2,(-5.851200260174835e-06-6.769070689745249e-06j),8.947450055040166e-06,5.66533255346949,0.2964027494561075,ACTRot11,11.0,2.0,9.0,perp
8,(3.0621908217030036e-06-3.857970930586414e-06j),4.925540815968529e-06,5.66533255346949,0.16316870520992224,ACTRot11,11.0,2.0,9.0,perp
3,(1.4581668141986478e-06-8.176158316798589e-07j),1.6717494149075633e-06,5.66533255346949,0.05538014964398887,ACTRot11,11.0,2.0,9.0,perp
1,(8.366392630073252e-07-5.945763814643701e-07j),1.0263948215967891e-06,5.66533255346949,0.03400144681192452,ACTRot11,11.0,2.0,9.0,perp
9,(1.28211079527016e-08-4.669172584398762e-07j),4.6709325304284264e-07,5.66533255346949,0.01547342802727435,ACTRot11,11.0,2.0,9.0,perp
5,(-4.55233538816151e-07+1.9562723125759034e-08j),4.556536787947302e-07,5.66533255346949,0.015094468520499815,ACTRot11,11.0,2.0,9.0,perp
7,(4.644114860012726e-08+1.4356058652117895e-07j),1.508854608158255e-07,5.66533255346949,0.004998392297654652,ACTRot11,11.0,2.0,9.0,perp
0,(-1.1786011499295189e-19+0j),1.1786011499295189e-19,5.66533255346949,3.9043595572176816e-15,ACTRot11,11.0,2.0,9.0,perp
2,(-4.4300368511714456e-07-8.199120027144278e-07j),9.319377432117202e-07,4.3132551450617695,1.0,ACTRot11,11.0,30.0,0.5,perp
6,(-2.5696074520032435e-07+6.824298446130936e-08j),2.658682559127594e-07,4.3132551450617695,0.28528542582308386,ACTRot11,11.0,30.0,0.5,perp
4,(1.3824307036153208e-07-1.7367851871895087e-07j),2.2198057204943066e-07,4.3132551450617695,0.23819249050309202,ACTRot11,11.0,30.0,0.5,perp
5,(-4.7827776731318484e-08-1.3067530302076383e-07j),1.3915290527556118e-07,4.3132551450617695,0.14931566651222972,ACTRot11,11.0,30.0,0.5,perp
3,(1.3311803470132462e-08+1.0339325002156154e-07j),1.0424667026648174e-07,4.3132551450617695,0.11186012265928659,ACTRot11,11.0,30.0,0.5,perp
1,(-3.703881925215698e-08-8.781703578923651e-08j),9.530847762083917e-08,4.3132551450617695,0.10226914653373657,ACTRot11,11.0,30.0,0.5,perp
8,(-4.74019264566286e-08-6.790249108646106e-08j),8.281117634441955e-08,4.3132551450617695,0.08885912921503629,ACTRot11,11.0,30.0,0.5,perp
9,(6.673363092723187e-08-4.124335727804434e-08j),7.844993318223038e-08,4.3132551450617695,0.08417937115828124,ACTRot11,11.0,30.0,0.5,perp
7,(-3.630516239735645e-08+5.691601830070179e-08j),6.750924348490542e-08,4.3132551450617695,0.07243964951161816,ACTRot11,11.0,30.0,0.5,perp
0,(-5.142822463735402e-20+0j),5.142822463735402e-20,4.3132551450617695,5.518418479341534e-14,ACTRot11,11.0,30.0,0.5,perp
2,(-8.563752620426273e-07-1.0485252777722176e-06j),1.3538034744991181e-06,4.027522183437403,1.0,ACTRot11,11.0,30.0,3.0,perp
4,(-2.1202597696162172e-07-4.284677441130111e-07j),4.780581791495915e-07,4.027522183437403,0.3531222870634632,ACTRot11,11.0,30.0,3.0,perp
6,(-2.994961819779754e-07-7.810094421713522e-08j),3.095120684351301e-07,4.027522183437403,0.2286240759942234,ACTRot11,11.0,30.0,3.0,perp
5,(1.0056925728422046e-07-1.1949112936663934e-07j),1.5618036210745148e-07,4.027522183437403,0.11536413153706469,ACTRot11,11.0,30.0,3.0,perp
9,(1.315426599901435e-07-7.37095246005129e-08j),1.5078648949463647e-07,4.027522183437403,0.11137989548329726,ACTRot11,11.0,30.0,3.0,perp
7,(1.3614225011444716e-07+6.33502077858556e-08j),1.5015978520474703e-07,4.027522183437403,0.11091697431217136,ACTRot11,11.0,30.0,3.0,perp
8,(-7.525148099630683e-08-8.630652601949707e-09j),7.574479227295477e-08,4.027522183437403,0.055949621713726895,ACTRot11,11.0,30.0,3.0,perp
3,(-4.929626779936214e-08-4.846556868215372e-08j),6.913055306180465e-08,4.027522183437403,0.051063950096140544,ACTRot11,11.0,30.0,3.0,perp
