,Temperature (K),Sample Position (deg),Res. (ohm-cm),ACT,ACT_str,T,H,geo,Delta Res. Mean (ohm-cm),Delta Res./R0 Mean (ohm-cm),Delta Res./R0 Mean (%),Delta Res. 0deg (ohm-cm),Delta Res./R0 0deg (ohm-cm),Delta Res./R0 0deg (%),Sample Position (rads),Res. (uohm-cm),Delta Res. Mean (uohm-cm),Delta Res./R0 Mean (uohm-cm),Delta Res. 0deg (uohm-cm),Delta Res./R0 0deg (uohm-cm)
47,10.0006366,94.0043945,0.0003946802262449,11,ACTRot11,10.0,0.5,perp,-2.4874671593344555e-08,-6.302090227764049e-05,-2.4874671593344555,-4.171874569999616e-08,-0.00010569147783508632,-4.171874569999616,1.6406861953686485,394.6802262449,-0.024874671593344555,-63.02090227764049,-0.04171874569999616,-105.69147783508632
48,10.00033425,96.026001,0.0003948113813895,11,ACTRot11,10.0,0.5,perp,1.0628047300667879e-07,0.00026926551686283945,10.628047300667879,8.943639890002719e-08,0.00022658076155901858,8.94363989000272,1.6759698849733673,394.8113813895,0.1062804730066788,269.26551686283943,0.08943639890002719,226.58076155901858
49,10.00035235,97.9944,0.000394898465237,11,ACTRot11,10.0,0.5,perp,1.9336432050665433e-07,0.0004898956716233669,19.336432050665433,1.7652024640000272e-07,0.00044720150131051474,17.65202464000027,1.7103249285163311,394.898465237,0.19336432050665434,489.8956716233669,0.17652024640000272,447.20150131051474
50,10.000578175,100.0159988,0.0003948903033248,11,ACTRot11,10.0,0.5,perp,1.8520240830668076e-07,0.0004692171646037671,18.520240830668076,1.6835833420002916e-07,0.00042652387671032196,16.835833420002917,1.7456084837306978,394.8903033248,0.18520240830668078,469.2171646037671,0.16835833420002916,426.52387671032193
51,10.00062895,101.9843979,0.0003946644190775,11,ACTRot11,10.0,0.5,perp,-4.068183899333996e-08,-0.00010306894666138834,-4.068183899333996,-5.752591309999156e-08,-0.00014573781323802887,-5.752591309999156,1.7799635290189908,394.6644190775,-0.04068183899333996,-103.06894666138834,-0.05752591309999156,-145.73781323802888
52,10.000442975,104.0059967,0.0003948136003218,11,ACTRot11,10.0,0.5,perp,1.0849940530667946e-07,0.00027488726407322105,10.849940530667945,9.165533120002785e-08,0.00023220226887109242,9.165533120002786,1.815247084233357,394.81360032180004,0.10849940530667945,274.88726407322105,0.09165533120002786,232.20226887109243
53,10.000333775,106.0275955,0.0003947916690877,11,ACTRot11,10.0,0.5,perp,8.656817120664215e-08,0.00021932366976163588,8.656817120664215,6.972409709999055e-08,0.00017664104563948422,6.972409709999055,1.8505306394477234,394.7916690877,0.08656817120664215,219.32366976163587,0.06972409709999056,176.64104563948422
54,10.0005343,107.9959946,0.0003947380664985,11,ACTRot11,10.0,0.5,perp,3.296558200667401e-08,8.351952363962088e-05,3.296558200667401,1.6121507900022404e-08,4.0842694723766436e-05,1.6121507900022405,1.8848856847360165,394.7380664985,0.03296558200667401,83.51952363962089,0.016121507900022404,40.842694723766435
55,10.000486125,110.017601,0.0003947618078617,11,ACTRot11,10.0,0.5,perp,5.670694520665308e-08,0.0001436691471049684,5.670694520665308,3.986287110000148e-08,0.00010098975140830029,3.9862871100001476,1.920169372595406,394.7618078617,0.05670694520665308,143.6691471049684,0.039862871100001473,100.9897514083003
56,10.000391475,111.9860001,0.0003946566051733,11,ACTRot11,10.0,0.5,perp,-4.8495743193346236e-08,-0.000122865762516726,-4.849574319334623,-6.533981729999784e-08,-0.0001655337842986,-6.533981729999784,1.9545244178836991,394.65660517329997,-0.048495743193346236,-122.865762516726,-0.06533981729999784,-165.5337842986
